ID,Word,Spell Check,"In W2V,S2V",Replacements
CBS-711,crocodile,crocodile,Yes,crocodile
CBS-711,toucan,toucan,No,bird
CBW-715,horse,horse,Yes,horse
CBW-715,puppy,puppy,Yes,puppy
CBW-715,dog,dog,Yes,dog
CBW-715,pig,pig,Yes,pig
CBW-715,donkey,donkey,Yes,donkey
CBW-715,mule,mule,Yes,mule
CBW-715,goose,goose,Yes,goose
CBW-715,duck,duck,Yes,duck
CBW-715,fish,fish,Yes,fish
CBW-715,cheetah,cheetah,No,feline
CBW-715,lion,lion,Yes,lion
CBW-715,leopard,leopard,Yes,leopard
CBW-715,jaguar,jaguar,Yes,jaguar
CBW-715,monkey,monkey,Yes,monkey
CBW-715,gorilla,gorilla,Yes,gorilla
CBW-715,ape,ape,Yes,ape
CBW-715,snake,snake,Yes,snake
CBW-715,bee,bee,Yes,bee
CCB-720,zebra,zebra,Yes,zebra
CCB-720,tiger,tiger,Yes,tiger
CCB-720,lizard,lizard,Yes,lizard
CCB-720,snake,snake,Yes,snake
CCB-720,koala,koala,No,australian
CCB-720,shark,shark,Yes,shark
CCB-720,fish,fish,Yes,fish
CCB-720,rainbow,rainbow,Yes,rainbow
CCB-720,bunny,bunny,Yes,bunny
CCB-720,dog,dog,Yes,dog
CCB-720,cat,cat,Yes,cat
CCB-720,hamster,hamster,No,pets
CCB-720,gopher,gopher,Yes,gopher
CCB-720,leopard,leopard,Yes,leopard
CCC-721,dog,dog,Yes,dog
CCC-721,cat,cat,Yes,cat
CCC-721,lion,lion,Yes,lion
CCC-721,tiger,tiger,Yes,tiger
CCC-721,zebra,zebra,Yes,zebra
CCC-721,chicken,chicken,Yes,chicken
CCC-721,fish,fish,Yes,fish
CCC-721,giraffe,giraffe,No,african
CCC-721,wolf,wolf,Yes,wolf
CCC-721,mouse,mouse,Yes,mouse
CCC-721,platypus,platypus,No,water
CCC-721,beaver,beaver,Yes,beaver
CCC-721,duck,duck,Yes,duck
CCC-721,goose,goose,Yes,goose
CCC-721,bird,bird,Yes,bird
CCD-722,dog,dog,Yes,dog
CCD-722,cat,cat,Yes,cat
CCD-722,horse,horse,Yes,horse
CCD-722,frog,frog,Yes,frog
CCD-722,butterfly,butterfly,Yes,butterfly
CCD-722,cricket,cricket,Yes,cricket
CCD-722,spider,spider,Yes,spider
CCD-722,giraffe,giraffe,No,african
CCD-722,elephant,elephant,Yes,elephant
CCD-722,rhino,rhinoceros,Yes,rhinoceros
CCD-722,hippo,hippopotamus,Yes,hippopotamus
CCD-722,eagle,eagle,Yes,eagle
CCD-722,tiger,tiger,Yes,tiger
CCD-722,lion,lion,Yes,lion
CCD-722,bear,bear,Yes,bear
CCD-722,polar,polar,Yes,polar
CCD-722,dolphin,dolphin,Yes,dolphin
CCD-722,penguin,penguin,Yes,penguin
CCD-722,lizard,lizard,Yes,lizard
CCD-722,snake,snake,Yes,snake
CCD-722,tarantula,tarantula,No,insects
CCD-722,shark,shark,Yes,shark
CCD-722,lemur,lemur,No,primate
CCD-722,sloth,sloth,Yes,sloth
CCD-722,zebra,zebra,Yes,zebra
CCD-722,wildebeest,wildebeest,No,african
CCD-722,deer,deer,Yes,deer
CCD-722,rabbit,rabbit,Yes,rabbit
CCD-722,kangaroo,kangaroo,Yes,kangaroo
CCF-724,giraffe,giraffe,No,african
CCF-724,elephant,elephant,Yes,elephant
CCF-724,monkey,monkey,Yes,monkey
CCF-724,oscar,oscar,Yes,oscar
CCF-724,ostrich,ostrich,Yes,ostrich
CCF-724,fish,fish,Yes,fish
CCF-724,shark,shark,Yes,shark
CCF-724,whale,whale,Yes,whale
CCF-724,bird,bird,Yes,bird
CCF-724,hamster,hamster,No,pets
CCF-724,rat,rat,Yes,rat
CCF-724,cat,cat,Yes,cat
CCF-724,dog,dog,Yes,dog
CCF-724,horse,horse,Yes,horse
CCF-724,pig,pig,Yes,pig
CCF-724,cow,cow,Yes,cow
CCF-724,chicken,chicken,Yes,chicken
CCF-724,seal,seal,Yes,seal
CCH-726,giraffe,giraffe,No,african
CCH-726,hippo,hippopotamus,Yes,hippopotamus
CCH-726,elephant,elephant,Yes,elephant
CCH-726,donkey,donkey,Yes,donkey
CCH-726,horse,horse,Yes,horse
CCH-726,dog,dog,Yes,dog
CCH-726,cat,cat,Yes,cat
CCH-726,tarantula,tarantula,No,insects
CCH-726,fish,fish,Yes,fish
CCH-726,raccoon,raccoon,No,american
CCH-726,deer,deer,Yes,deer
CCH-726,frog,frog,Yes,frog
CCH-726,snake,snake,Yes,snake
CCH-726,parrot,parrot,Yes,parrot
CCH-726,macaw,macaw,No,bird
CCH-726,zebra,zebra,Yes,zebra
CCH-726,flamingo,flamingo,No,bird
CCH-726,duck,duck,Yes,duck
CCH-726,turtle,turtle,Yes,turtle
CCH-726,cheetah,cheetah,No,feline
CCH-726,jaguar,jaguar,Yes,jaguar
CCH-726,panther,panther,Yes,panther
CCH-726,lion,lion,Yes,lion
CCL-730,cat,cat,Yes,cat
CCL-730,dog,dog,Yes,dog
CCL-730,butterfly,butterfly,Yes,butterfly
CCL-730,bee,bee,Yes,bee
CCL-730,bee,bee,Yes,bee
CCL-730,lion,lion,Yes,lion
CCL-730,zebra,zebra,Yes,zebra
CCL-730,tiger,tiger,Yes,tiger
CCL-730,elephant,elephant,Yes,elephant
CCL-730,bear,bear,Yes,bear
CCL-730,kangaroo,kangaroo,Yes,kangaroo
CCL-730,dolphin,dolphin,Yes,dolphin
CCL-730,fish,fish,Yes,fish
CCL-730,zebra,zebra,Yes,zebra
CCL-730,fly,fly,Yes,fly
CCL-730,flea,flea,Yes,flea
CCL-730,tiger,tiger,Yes,tiger
CCL-730,squirrel,squirrel,Yes,squirrel
CCL-730,raccoon,raccoon,No,american
CCL-730,possum,possum,Yes,possum
CCL-730,rat,rat,Yes,rat
CCL-730,mouse,mouse,Yes,mouse
CCL-730,snake,snake,Yes,snake
CCL-730,bird,bird,Yes,bird
CCX-744,lion,lion,Yes,lion
CCX-744,tiger,tiger,Yes,tiger
CCX-744,bear,bear,Yes,bear
CCX-744,giraffe,giraffe,No,african
CCX-744,elephant,elephant,Yes,elephant
CCX-744,dolphin,dolphin,Yes,dolphin
CCX-744,whale,whale,Yes,whale
CCX-744,snake,snake,Yes,snake
CCX-744,rabbit,rabbit,Yes,rabbit
CCX-744,lizard,lizard,Yes,lizard
CCX-744,spider,spider,Yes,spider
CCX-744,bat,bat,Yes,bat
CCX-744,raccoon,raccoon,No,american
CCX-744,fox,fox,Yes,fox
CCX-744,wolf,wolf,Yes,wolf
CCX-744,meerkat,meerkat,No,african
CCX-744,deer,deer,Yes,deer
CCX-744,fish,fish,Yes,fish
CDG-753,tiger,tiger,Yes,tiger
CDG-753,lion,lion,Yes,lion
CDG-753,zebra,zebra,Yes,zebra
CDG-753,mammoth,mammoth,Yes,mammoth
CDG-753,elephant,elephant,Yes,elephant
CDG-753,manatee,manatee,No,water
CDG-753,hippo,hippopotamus,Yes,hippopotamus
CDG-753,giraffe,giraffe,No,african
CDG-753,panda,panda,No,asian
CDG-753,lemur,lemur,No,primate
